Character Name,Account Handle,Level,Class,Guild Rank,Contribution Total,Join Date,Rank Change Date,Last Active Date,Status,Public Comment,Public Comment Last Edit Date,Officer Comment,Officer Comment Author,Officer Comment Last Edit Date
Kael Blazebeard,@sherifftruman,70,Great Weapon Fighter,Order of the Dragon,0,8/14/2015 8:03:18 PM,,5/23/2016 12:01:17 AM,"","Kaelyx alt, PVE DPS 2.6K",5/3/2016 2:48:23 AM
Damakos Vicelord,@silence1x,70,Control Wizard,Order of Ni,0,3/20/2016 7:42:22 PM,,5/22/2016 5:18:01 PM,"","",
Adrik Battlefate,@flyingleon,70,Devoted Cleric,Order of the Golden Shield,0,10/22/2015 3:46:25 PM,,5/22/2016 6:27:30 PM,"","DO Virtuous DC newbie 70",12/8/2015 6:24:49 PM
Elf,@jazzfong,70,Devoted Cleric,Order of Ni,0,2/12/2016 11:34:19 AM,,5/21/2016 7:32:27 AM,"","",4/8/2016 6:05:59 AM
DeathBeez,@deathbeez,70,Guardian Fighter,Order of the Aegis-Fang,0,8/31/2015 8:00:30 PM,,5/23/2016 11:31:11 AM,"","I got nuthin'",5/21/2016 5:31:01 PM
Two Finger Joe,@lepototoon,70,Control Wizard,Order of Ni,0,4/16/2016 9:24:08 AM,,5/21/2016 11:58:44 AM,"","2.5k CW open for anything - main; p.s. love you guys",5/17/2016 2:41:09 PM
Koriko,@arandompanda,70,Devoted Cleric,Order of the Dragon,0,11/20/2015 6:51:33 PM,,5/22/2016 7:09:14 PM,"","",,"alt is ariel L70",Rasp@tantalic,1/13/2016 8:22:18 PM
Moonshadow Walker,@birtalia,70,Devoted Cleric,Order of the Dragon,0,2/28/2016 7:01:12 PM,4/2/2016 10:09:36 PM,5/22/2016 6:08:01 PM,"","",
shortround,@tantalic,70,Great Weapon Fighter,Order of the Golden Shield,0,5/23/2015 9:09:08 PM,,5/23/2016 2:59:48 AM,"","We all can't be great :(",3/3/2016 6:28:39 PM
Mini-Minsc,@nuitrari,70,Great Weapon Fighter,Order of the Aegis-Fang,0,10/7/2015 5:12:42 PM,4/4/2016 12:17:19 PM,5/23/2016 10:23:07 AM,"","",,"has been part of greys since SH module",Rasp@tantalic,1/10/2016 11:10:38 PM
Loralynn,@morgana498,70,Great Weapon Fighter,Order of the Dragon,0,10/11/2015 11:23:47 PM,,5/22/2016 11:13:42 PM,"","",,"has been part of greys since 10-15-15",Rasp@tantalic,1/27/2016 2:17:03 AM
Taras Seran,@draconicdrow57,70,Control Wizard,Order of the Dragon,0,10/11/2015 11:26:17 PM,,5/22/2016 11:10:16 PM,"","",,"has been part of greys since October 15",Rasp@tantalic,1/10/2016 11:16:51 PM
Barberland Guerrier,@barberland2,70,Great Weapon Fighter,Order of the Wolf,0,12/13/2015 3:54:57 PM,,5/22/2016 5:17:05 PM,"","3K, Paris, France",3/20/2016 2:09:45 PM
Phyre Demoneye,@volgera,70,Control Wizard,Order of the Wolf,0,7/23/2015 3:29:03 PM,,5/22/2016 6:56:40 AM,"","Merely a CW",4/25/2016 2:03:02 PM
Skylander,@tantalic,70,Control Wizard,Order of the Charon's Claw,0,1/1/2016 4:08:38 AM,,5/23/2016 2:50:45 AM,"","rasp",2/25/2016 1:52:02 AM
Hand Harry,@johann003,70,Hunter Ranger,Order of Ni,0,2/11/2016 1:30:45 PM,,4/17/2016 11:15:58 AM,"","2.4k item lvl.",4/14/2016 3:36:03 AM,"watch list - rasp ",Rasp@tantalic,2/19/2016 8:43:49 PM
